"barrier_id","internal_name","watershed_group_code","structure_type","reason_for_exclusion","reason","supporting_links"
"112336",NULL,NULL,"Stream crossing - CBS","No key upstream habitat","Limited habitat value","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=112516"
"1004605216",NULL,NULL,"None","No structure","Crossing does not exist",NULL
"197826","1004603334","ELKR","Stream crossing - Ford","Passable","Ford","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198846"
"197839","1004607022","ELKR","Stream crossing - Ford","Passable","Ford","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198859"
"197837","1004602163","ELKR","Stream crossing - Ford","Passable","Ford","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198857"
"1004603432",NULL,NULL,"None","No structure","No crossing",NULL
"197805","1004601280",NULL,"None","No structure","No crossing","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198825"
"197820",NULL,"ELKR","Stream crossing - Ford","Passable","Ford","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198838"
"197816","1004602949","ELKR","Stream crossing - Ford","Passable","Ford","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198836"
"197790","1004606411","ELKR","Stream crossing - Ford","Passable","Ford","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198810"
"da28f1e5-4fb1-43cd-ac85-123d6735677e","1100002606 / 1100000129",NULL,"Dam","Passable","Located off channel. Not a barrier","https://www.newgraphenvironment.com/fish_passage_elk_2021_reporting/results-and-discussion.html"
"197803","1004602514","ELKR","Stream crossing - Ford","Passable","Ford","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198823"
"197838","1004601704",NULL,"None","No structure","No crossing","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198858"
"197818","1004606007","ELKR","Stream crossing - Ford","Passable","Ford","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198840"
"197525",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Dry, vegetated channel, no modeled habitat","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198425"
"197846","1004607449","ELKR","Stream crossing - Ford","Passable","Ford","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198866"
"197823","1024706614","ELKR","Stream crossing - Ford","Passable","Ford","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198844"
"197824","1004604677","ELKR","Stream crossing - Ford","Passable","","https://www.newgraphenvironment.com/fish_passage_elk_2021_reporting/appendix---phase-1-fish-passage-assessment-data-and-photos.html"
"197521",NULL,"ELKR","Stream crossing - CBS","Passable","Notes indicate crossing lis likely passable most of the year for juveniles. No modeled habitat upstream","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198421"
"197522",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted as unlikely fish bearing","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198422"
"197523",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality habitat in field","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198423"
"197524",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality habitat (dry, vegetated)  in field. ","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198424"
"1004607172",NULL,NULL,"None","No structure","No crossing",NULL
"197528",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted as unlikely fish bearing in field, no modeled habitat","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198428"
"197529",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted as low quality habitat in field; no modeled habitat upstream ","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198429"
"199902","1004606806","ELKR","Stream crossing - CBS","Passable","Passable CBS, low quality habitat","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=201317"
"199905","1004601582","ELKR","Stream crossing - OBS","Passable","Bridge","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=201320"
"50263",NULL,NULL,"None","No structure","Crossing deactivated, road inactive","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=201314"
"199907","1004605237","ELKR","Stream crossing - OBS","Passable","Bridge","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=201322"
"197532",NULL,"ELKR","Stream crossing - CBS","Passable","Scores as potential barrier but noted as likely passable at time of assessment. Culvert collapsing in middle.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198432"
"197535",NULL,"ELKR","Stream crossing - Ford","Passable","Culvert pulled, now a ford","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198435"
"1024734179",NULL,NULL,"None","No structure","Stream was walked from mouth to 50185 upstream. No structure found.","https://www.newgraphenvironment.com/fish_passage_elk_2020_reporting/appendix---50185---tributary-to-morrisey-creek.html"
"197554",NULL,"ELKR","Stream crossing - CBS","Passable","Barrier rated as potential barrier but slow moving stream and fully backwatered so unlikely to impede passage.","https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198454"
"197536",NULL,"ELKR","Stream crossing - Ford","Passable","Deactivated ford",NULL
"1004602161",NULL,NULL,"None","No structure","Area was surveyed as part of habitat confirmation for 50153. Crossing no longer exists","https://www.newgraphenvironment.com/fish_passage_elk_2020_reporting/appendix---62516---tributary-to-lizard-creek.html"
"197539",NULL,"ELKR","Stream crossing - OBS","Passable","Bridge","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198439"
"197540",NULL,"ELKR","Stream crossing - OBS","Passable",NULL,"http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198440"
"197541",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted as likely to steep for fish in field; no modeled habitat","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198441"
"197546",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted in field as vegetated channel, unlikely to be fish habitat.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198446"
"197548",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Dry, mostly vegetated channel. No modeled habitat","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198448"
"197552",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Stream dry, vegetated channel. No modeled habitat","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198452"
"197556",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No visible channel. No modeled habitat.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198456"
"197557",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted in field as low quality habitat, no modeled habitat upstream. ","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198457"
"197558",NULL,"ELKR","Stream crossing - CBS","Passable","Scores as barrier but noted as unlikely to impede passage due to wetland-type habitat upstream","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198458"
"197560",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted as dry with no channel present, no modeled habitat.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198460"
"197561",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted as low quality habitat, no modeled habitat present","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198461"
"197562",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted as low quality habitat in field, no modeled habitat present","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198462 "
"197563",NULL,"ELKR","Stream crossing - Ford","Passable","Deactivated road (ford)","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198463"
"197547",NULL,"ELKR",NULL,"No key upstream habitat","Passable structure, dry vegetated channel","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198447"
"197545",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Embedded culvert on dry channel ","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198445"
"197543",NULL,"ELKR","Stream crossing - OBS","Passable","Bridge on bike trail","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198443"
"197551",NULL,"ELKR","Stream crossing - OBS","Passable","Open bottom arch culvert","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198451"
"197567",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted as low qualty habitat with very low flow in field, no modeled habitat present.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198467"
"197568",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Passable concrete box culvert, low quality habitat, no modeled habitat","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198468"
"197569",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted as low quality habitat (dry), no modeled habitat upstream","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198469"
"197575",NULL,NULL,"Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality habitat in field","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198475"
"197576",NULL,NULL,"Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality habitat in field","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198476"
"197577",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality habitat in field","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198477"
"197726",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality habitat in field.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198626"
"197723",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat",NULL,"http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198623"
"197727",NULL,"ELKR","Stream crossing - Ford","Passable","Ford","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198627"
"197720",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality habitat in field (dry)","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198620"
"197721",NULL,"ELKR","Stream crossing - OBS","Passable","Bridge","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198621"
"50261",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Permanent impassable rock outcrop downstream","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198642"
"197799",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality in field","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198819"
"197800",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat but noted as med quality in field but very steep ","Nhttp://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198820ULL"
"197574",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Noted as low quality habitat in field, no modeled habitat","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198474"
"197863",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Very steep upstream of structure","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198883"
"197802",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat but noted as med quality in field but very steep ","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198822"
"197798",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality in field","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198818"
"197865",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality in the field","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198848"
"197829",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality in the field",NULL
"197817",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat, noted as low quality in the field.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198837"
"197864",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","No modeled habitat and noted in field as very unlikely to be fish habitat","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198884"
"1004606929",NULL,NULL,"None","No structure",NULL,NULL
"197549",NULL,NULL,"Stream crossing - CBS","Passable","Passable and dry vegetated channel with unlikely fish values. Unmapped stream.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198449"
"197550",NULL,"ELKR","Stream crossing - CBS","No key upstream habitat","Dry, mostly vegetated channel, unlikely fish habitat. Unmapped stream.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198450"
"197544",NULL,NULL,"Stream crossing - OBS","Passable","Bridge on trail over unmapped stream.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198444"
"197531",NULL,"ELKR","Stream crossing - CBS","Passable","Scores as potential barrier but noted as likely passable (embedded culvert)","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198431"
"197566",NULL,"ELKR","Stream crossing - OBS","Passable","Bridge on rec trail","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198466"
"197795","1024733953","ELKR","Stream crossing - OBS","Passable","Bridge","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198815"
"197530",NULL,"ELKR","Stream crossing - CBS","Passable","Passable","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198430"
